x,y,z
76.99999237060547,241.23263549804688,a
78.99999237060547,244.23265075683594,a
79.99999237060547,246.23265075683594,a
80.99999237060547,248.23265075683594,a
80.99999237060547,249.23265075683594,a
80.99999237060547,252.23265075683594,a
81.99999237060547,258.23265075683594,a
82.99999237060547,261.23265075683594,a
84.99999237060547,265.23265075683594,a
84.99999237060547,270.23265075683594,a
85.99999237060547,274.23265075683594,a
86.99999237060547,278.23265075683594,a
88.99999237060547,282.23265075683594,a
89.99999237060547,285.23265075683594,a
90.99999237060547,289.23265075683594,a
92.99999237060547,293.23265075683594,a
95.99999237060547,299.23265075683594,a
96.99999237060547,303.23265075683594,a
98.99999237060547,309.23265075683594,a
100.99999237060547,313.23265075683594,a
102.99999237060547,319.23265075683594,a
105.99999237060547,322.2326354980469,a
105.99999237060547,325.2326354980469,a
107.99999237060547,330.2326354980469,a
109.99999237060547,333.2326354980469,a
110.99999237060547,336.2326354980469,a
112.99999237060547,339.2326354980469,a
114.99999237060547,342.2326354980469,a
116.99999237060547,343.2326354980469,a
116.99999237060547,345.2326354980469,a
117.99999237060547,348.2326354980469,a
118.99999237060547,350.2326354980469,a
119.99999237060547,351.2326354980469,a
121.99999237060547,353.2326354980469,a
124.99999237060547,354.2326354980469,a
126.99999237060547,358.2326354980469,a
129,359.2326354980469,a
131,360.2326354980469,a
132,360.2326354980469,a
133,360.2326354980469,a
138,360.2326354980469,a
145,360.2326354980469,a
149,360.2326354980469,a
152,360.2326354980469,a
156,360.2326354980469,a
161,360.2326354980469,a
165,360.2326354980469,a
170,360.2326354980469,a
171,360.2326354980469,a
172,360.2326354980469,a
175,359.2326354980469,a
176,358.2326354980469,a
178,356.2326354980469,a
179,355.2326354980469,a
180,355.2326354980469,a
180,354.2326354980469,a
180.99998474121094,353.2326354980469,a
180.99998474121094,352.2326354980469,a
181.99998474121094,351.2326354980469,a
182.99998474121094,350.2326354980469,a
182.99998474121094,349.2326354980469,a
184.99998474121094,349.2326354980469,a
184.99998474121094,348.2326354980469,a
184.99998474121094,346.2326354980469,a
184.99998474121094,345.2326354980469,a
185.99998474121094,344.2326354980469,a
186.99998474121094,343.2326354980469,a
186.99998474121094,342.2326354980469,a
187.99998474121094,342.2326354980469,a
187.99998474121094,341.2326354980469,a
187.99998474121094,340.2326354980469,a
188.99998474121094,338.2326354980469,a
189.99998474121094,336.2326354980469,a
189.99998474121094,334.2326354980469,a
190.99998474121094,333.2326354980469,a
192.99998474121094,331.2326354980469,a
192.99998474121094,329.2326354980469,a
195.99998474121094,326.2326354980469,a
196.99998474121094,324.2326354980469,a
197.99998474121094,322.2326354980469,a
198.99998474121094,320.2326354980469,a
198.99998474121094,319.23265075683594,a
198.99998474121094,318.23265075683594,a
198.99998474121094,314.23265075683594,a
198.99998474121094,313.23265075683594,a
198.99998474121094,311.23265075683594,a
198.99998474121094,309.23265075683594,a
198.99998474121094,308.23265075683594,a
198.99998474121094,306.23265075683594,a
198.99998474121094,304.23265075683594,a
198.99998474121094,303.23265075683594,a
198.99998474121094,302.23265075683594,a
198.99998474121094,301.23265075683594,a
198.99998474121094,300.23265075683594,a
199.99998474121094,298.23265075683594,a
200.99998474121094,295.23265075683594,a
200.99998474121094,293.23265075683594,a
201.99998474121094,291.23265075683594,a
202.99998474121094,291.23265075683594,a
202.99998474121094,290.23265075683594,a
202.99998474121094,288.23265075683594,a
202.99998474121094,286.23265075683594,a
202.99998474121094,285.23265075683594,a
204.99998474121094,284.23265075683594,a
205.99998474121094,282.23265075683594,a
205.99998474121094,280.23265075683594,a
205.99998474121094,279.23265075683594,a
206.99998474121094,276.23265075683594,a
207.99998474121094,275.23265075683594,a
208.99998474121094,273.23265075683594,a
209.99998474121094,272.23265075683594,a
209.99998474121094,271.23265075683594,a
209.99998474121094,270.23265075683594,a
209.99998474121094,268.23265075683594,a
209.99998474121094,266.23265075683594,a
210.99998474121094,264.23265075683594,a
210.99998474121094,263.23265075683594,a
210.99998474121094,262.23265075683594,a
210.99998474121094,261.23265075683594,a
210.99998474121094,260.23265075683594,a
210.99998474121094,259.23265075683594,a
210.99998474121094,258.23265075683594,a
210.99998474121094,255.23265075683594,a
211.99998474121094,253.23265075683594,a
211.99998474121094,252.23265075683594,a
211.99998474121094,251.23265075683594,a
212.99998474121094,250.23265075683594,a
214.99998474121094,249.23265075683594,a
214.99998474121094,248.23265075683594,a
215.99998474121094,248.23265075683594,a
216.99998474121094,248.23265075683594,a
217.99998474121094,246.23265075683594,a
218.99998474121094,245.23265075683594,a
220.99998474121094,245.23265075683594,a
221.99998474121094,244.23265075683594,a
